timestamp,symbol,binance_pair,drift_pair,bina_price,drift_price,gap_perc
2022-04-21 20:44:50,LUNA,LUNAUSDT,3,97.38754963,97.33997321069847,0.0488526710881027
2022-04-21 20:44:50,AVAX,AVAXUSDT,4,77.76064598,77.82798224815775,-0.0865942756893566
2022-04-21 20:44:50,BNB,BNBUSDT,5,417.1,417.28763178058426,-0.0449848431033901
2022-04-21 20:44:50,MATIC,MATICUSDT,6,1.43135801,1.433590358340414,-0.155960166835819
2022-04-21 20:44:50,ATOM,ATOMUSDT,7,24.29206658,24.339136798676343,-0.1937678645879231
2022-04-21 20:44:50,DOT,DOTUSDT,8,18.931,18.94754500719386,-0.0873963720556687
2022-04-21 20:44:50,ADA,ADAUSDT,9,0.94424657,0.9437203968316408,0.0557241281119225
2022-04-21 20:44:50,ALGO,ALGOUSDT,10,0.75068348,0.7509242361830079,-0.0320715973405855
2022-04-21 20:44:50,FTT,FTTUSDT,11,43.381,43.4325034190586,-0.1187234481883725
2022-04-21 20:44:50,LTC,LTCUSDT,12,111.07,111.22998887732317,-0.1440432856065297
2022-04-21 20:44:50,XRP,XRPUSDT,13,0.7518,0.7532435391577486,-0.1920110611530367
2022-04-21 20:44:50,APE,APEUSDT,14,15.08,15.072104714579975,0.0523560041115594
2022-04-21 20:44:50,DOGE,DOGEUSDT,15,0.13897,0.1391031788154839,-0.0958327808044683
2022-04-21 20:44:50,NEAR,NEARUSDT,16,16.28819437,16.331377557858264,-0.2651195514820278
2022-04-21 20:44:55,SOL,SOLUSDT,0,106.25,106.4296556249165,-0.1690876469802413
2022-04-21 20:44:55,BTC,BTCUSDT,1,41564.52867856,41622.65824905016,-0.1398537944209835
2022-04-21 20:44:55,ETH,ETHUSDT,2,3064.89,3068.6104666113824,-0.1213898903837515
2022-04-21 20:44:55,LUNA,LUNAUSDT,3,97.35,97.33997321069847,0.0102997322049366
2022-04-21 20:44:55,AVAX,AVAXUSDT,4,77.71309676,77.82798224815775,-0.1478328530808035
2022-04-21 20:44:55,BNB,BNBUSDT,5,417.05,417.28763178058426,-0.0569792064702677
2022-04-21 20:44:55,MATIC,MATICUSDT,6,1.4307,1.432543859693951,-0.1288781501328689
2022-04-21 20:44:55,ATOM,ATOMUSDT,7,24.28369467,24.339136798676343,-0.2283101044950816
2022-04-21 20:44:55,DOT,DOTUSDT,8,18.92213332,18.94754500719386,-0.1342961005723387
2022-04-21 20:44:55,ADA,ADAUSDT,9,0.94324701,0.9437203968316408,-0.0501869421924567
2022-04-21 20:44:55,ALGO,ALGOUSDT,10,0.75016922,0.7509242361830079,-0.1006461159533956
2022-04-21 20:44:55,FTT,FTTUSDT,11,43.3546641,43.42304106356693,-0.1577153577045623
2022-04-21 20:44:55,LTC,LTCUSDT,12,111.03,111.22889211125096,-0.1791336677032964
2022-04-21 20:44:55,XRP,XRPUSDT,13,0.7515,0.7532435391577486,-0.2320078719559026
2022-04-21 20:44:55,APE,APEUSDT,14,15.067,15.072104714579975,-0.0338800994224247
2022-04-21 20:44:55,DOGE,DOGEUSDT,15,0.13895,0.1391031788154839,-0.110240241442238
2022-04-21 20:44:55,NEAR,NEARUSDT,16,16.286,16.331377557858264,-0.2786292389675974
2022-04-21 20:45:00,SOL,SOLUSDT,0,106.27939576,106.4296556249165,-0.1413819337624229
